,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,Cyclically,,,,,,
Robert J. Shiller,,,,,,,,,,Adjusted,,,,,,
,,,,,,,,,,Price,,,,,,
,,,,  Consumer,,,,,,Earnings,,,,,,
,S&P,,,Price,,Long,,,,Ratio,,,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Real,P/E10 or,,,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE,,,,,,
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,80.58,4.71,7.44,NA,,,,,,
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,83.08,4.84,7.69,NA,,,,,,
1878.02,3.18,0.19,0.30,9.13,1878.12,4.33,82.13,4.86,7.79,NA,,,,,,
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,85.46,4.95,7.98,NA,,,,,,
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,88.78,4.98,8.09,NA,,,,,,
1878.05,3.34,0.19,0.30,8.56,1878.37,4.30,92.02,5.12,8.38,NA,,,,,,
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,96.08,5.21,8.59,NA,,,,,,
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,96.95,5.13,8.52,NA,,,,,,
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,95.05,5.05,8.45,NA,,,,,,
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,96.98,5.03,8.47,NA,,,,,,
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,96.95,5.06,8.59,NA,,,,,,
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,97.77,5.09,8.71,NA,,,,,,
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,99.47,5.19,8.94,NA,,,,,,
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,102.03,5.18,9.00,NA,,,,,,
1879.02,3.71,0.18,0.32,8.37,1879.12,4.20,104.53,5.16,9.06,NA,,,,,,
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,104.03,5.27,9.33,NA,,,,,,
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,108.70,5.38,9.61,NA,,,,,,
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,113.60,5.43,9.78,NA,,,,,,
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,115.52,5.54,10.06,NA,,,,,,
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,116.48,5.53,10.11,NA,,,,,,
1879.08,4.07,0.19,0.36,8.18,1879.62,4.10,117.35,5.57,10.28,NA,,,,,,
1879.09,4.22,0.20,0.36,8.47,1879.71,4.09,117.57,5.43,10.10,NA,,,,,,
1879.1,4.68,0.20,0.37,8.94,1879.79,4.07,123.45,5.19,9.72,NA,,,,,,
1879.11,4.93,0.20,0.37,9.42,1879.87,4.05,123.48,4.97,9.37,NA,,,,,,
1879.12,4.92,0.20,0.38,9.70,1879.96,4.04,119.60,4.86,9.24,NA,,,,,,
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,120.67,4.84,9.19,NA,,,,,,
1880.02,5.20,0.21,0.40,9.99,1880.12,3.99,122.80,4.96,9.41,NA,,,,,,
1880.03,5.30,0.22,0.41,10.09,1880.21,3.97,123.98,5.03,9.53,NA,,,,,,
1880.04,5.18,0.22,0.42,9.70,1880.29,3.94,125.92,5.35,10.13,NA,,,,,,
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,119.47,5.64,10.66,NA,,,,,,
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,122.44,5.88,11.12,NA,,,,,,
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,128.07,6.01,11.35,NA,,,,,,
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,132.67,6.13,11.59,NA,,,,,,
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,131.06,6.20,11.70,NA,,,,,,
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,134.86,6.33,11.93,NA,,,,,,
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,140.51,6.39,12.04,NA,,,,,,
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,144.80,6.45,12.15,NA,,,,,,
1881.01,6.19,0.27,0.49,9.42,1881.04,3.70,155.03,6.64,12.17,18.47,,,,,,
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,152.99,6.69,11.94,18.15,,,,,,
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,154.72,6.82,11.84,18.27,,,,,,
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,152.70,6.87,11.62,17.95,,,,,,
1881.05,6.50,0.29,0.47,9.51,1881.37,3.67,161.17,7.07,11.63,18.87,,,,,,
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,163.15,7.19,11.53,19.03,,,,,,
1881.07,6.35,0.30,0.46,9.61,1881.54,3.66,155.89,7.24,11.31,18.12,,,,,,
